"car_id","timestamp","province","city"
"000296635f69235776b63d06401b3bbd",2025-09-25 15:35:48.843000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 15:36:39.377000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 15:42:29.229000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 15:43:28.666000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 15:54:35.977000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 15:55:20.776000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 15:56:45.180000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 15:59:27.657000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:12:27.174000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:13:18.007000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:15:42.158000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:16:02.017000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:20:52.984000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:22:46.490000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:41:08.049000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:41:55.382000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:43:10.168000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:43:36.532000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:48:30.971000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 16:51:23.878000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:01:35.264000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:02:23.358000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:06:27.427000000,کرمانشاه,
